"Transaction Date","First Name","Last Name",Title,Symbol,Name,"Transaction Total",Transaction,"Note Text"
2023-09-08,Lois,Frankel,"US Congressman",LAMR,"Lamar Advertis",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",KLAC,"K L A-Tencor C",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",KKR,"KKR & Company ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",KVUE,"Kenvue Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",JPM,"JP Morgan Chas",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-08,Lois,Frankel,"US Congressman",JNJ,"Johnson & John",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ITW,"Illinois Tool ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",HUBB,"Hubbell Inc B",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",HON,"Honeywell Inte",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",HES,"Hess Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",HAL,"Halliburton Co",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",GL,"Globe Life Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",GD,"General Dynami",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",IT,"Gartner Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",FLR,"Fluor Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",FAF,"First American",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",EXPD,"Expeditors Int",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ES,"Eversource Ene",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ETR,"Entergy Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ETN,"Eaton Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",DD,"Dupont Denemou",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",DUK,"Duke Energy Co",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",DORM,"Dorman Product",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",D,"Dominion Energ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",FANG,"Diamondback En",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",DGEAF,"Diageo Plc New",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",COP,Conocophillips,32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-08,Lois,Frankel,"US Congressman",CMCSA,"Comcast Corp A",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-08,Lois,Frankel,"US Congressman",CBD-,"Cia Brasileira",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",CB,"Chubb Ltd",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",CRL,"Charles River ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",CBOE,"CBOE Global Ma",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",CASY,"Casey's Genera",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",BWXT,"Bwx Technologi",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",BR,"Broadridge Fin",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",BSX,"Boston Scienti",16001,Sell,"Traded $2,002 To $30,000 ."
2023-09-08,Lois,Frankel,"US Congressman",BAH,"Booz Allen Ham",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",BIO,"Bio-Rad Labora",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",AVY,"Avery Dennison",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ADSK,"Autodesk Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",AON,"AON Plc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ADI,"Analog Devices",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",COLD,"Americold Real",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",AXP,"American Expre",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",LNT,"Alliant Energy",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ARE,"Alexandria Rea",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ACN,"Accenture Plc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ABBV,"Abbvie Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",AOS,"Smith A.O. Cor",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",LH,"Laboratory Cor",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",UNLYF,"Unilever Plc G",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",CBD-,"Cia Brasileira",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",NONOF,"Novo Nordisk A",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
